id,worker_id,action,timestamp,location_id,work_id,worker_profession
1,2,Clock In,2024-10-01T08:07:00,,,Slinger
2,2,Clock Out,2024-10-01T15:07:00,2.0,19.0,Slinger
3,4,Clock In,2024-10-01T08:05:00,,,Assembler
4,4,Clock Out,2024-10-01T15:05:00,4.0,35.0,Assembler
5,5,Clock In,2024-10-01T08:18:00,,,Assembler
6,5,Clock Out,2024-10-01T17:18:00,3.0,20.0,Assembler
7,7,Clock In,2024-10-01T08:02:00,,,Assembler
8,7,Clock Out,2024-10-01T16:02:00,7.0,12.0,Assembler
9,8,Clock In,2024-10-01T08:24:00,,,Assembler
10,8,Clock Out,2024-10-01T16:24:00,1.0,5.0,Assembler
11,9,Clock In,2024-10-01T08:23:00,,,Shuttering Carpenter
12,9,Clock Out,2024-10-01T17:23:00,5.0,14.0,Shuttering Carpenter
13,11,Clock In,2024-10-01T08:06:00,,,Site Manager
14,11,Clock Out,2024-10-01T17:06:00,4.0,17.0,Site Manager
15,1,Clock In,2024-10-02T08:16:00,,,Shuttering Carpenter
16,1,Clock Out,2024-10-02T18:16:00,4.0,23.0,Shuttering Carpenter
17,2,Clock In,2024-10-02T08:18:00,,,Slinger
18,2,Clock Out,2024-10-02T16:18:00,3.0,31.0,Slinger
19,3,Clock In,2024-10-02T08:07:00,,,Assembler
20,3,Clock Out,2024-10-02T17:07:00,7.0,6.0,Assembler
21,4,Clock In,2024-10-02T08:19:00,,,Assembler
22,4,Clock Out,2024-10-02T17:19:00,7.0,41.0,Assembler
23,5,Clock In,2024-10-02T08:11:00,,,Assembler
24,5,Clock Out,2024-10-02T18:11:00,6.0,33.0,Assembler
25,8,Clock In,2024-10-02T08:20:00,,,Assembler
26,8,Clock Out,2024-10-02T15:20:00,4.0,38.0,Assembler
27,10,Clock In,2024-10-02T08:04:00,,,Steel Fixer
28,10,Clock Out,2024-10-02T16:04:00,7.0,15.0,Steel Fixer
29,2,Clock In,2024-10-03T08:11:00,,,Slinger
30,2,Clock Out,2024-10-03T15:11:00,6.0,24.0,Slinger
31,3,Clock In,2024-10-03T08:28:00,,,Assembler
32,3,Clock Out,2024-10-03T16:28:00,2.0,18.0,Assembler
33,4,Clock In,2024-10-03T08:00:00,,,Assembler
34,4,Clock Out,2024-10-03T17:00:00,3.0,30.0,Assembler
35,5,Clock In,2024-10-03T08:15:00,,,Assembler
36,5,Clock Out,2024-10-03T16:15:00,1.0,31.0,Assembler
37,7,Clock In,2024-10-03T08:22:00,,,Assembler
38,7,Clock Out,2024-10-03T16:22:00,3.0,37.0,Assembler
39,8,Clock In,2024-10-03T08:27:00,,,Assembler
40,8,Clock Out,2024-10-03T17:27:00,7.0,33.0,Assembler
41,9,Clock In,2024-10-03T08:08:00,,,Shuttering Carpenter
42,9,Clock Out,2024-10-03T18:08:00,4.0,32.0,Shuttering Carpenter
43,10,Clock In,2024-10-03T08:09:00,,,Steel Fixer
44,10,Clock Out,2024-10-03T15:09:00,6.0,32.0,Steel Fixer
45,1,Clock In,2024-10-04T08:28:00,,,Shuttering Carpenter
46,1,Clock Out,2024-10-04T16:28:00,4.0,11.0,Shuttering Carpenter
47,2,Clock In,2024-10-04T08:27:00,,,Slinger
48,2,Clock Out,2024-10-04T17:27:00,3.0,28.0,Slinger
49,3,Clock In,2024-10-04T08:06:00,,,Assembler
50,3,Clock Out,2024-10-04T16:06:00,3.0,42.0,Assembler
51,4,Clock In,2024-10-04T08:21:00,,,Assembler
52,4,Clock Out,2024-10-04T15:21:00,7.0,33.0,Assembler
53,5,Clock In,2024-10-04T08:00:00,,,Assembler
54,5,Clock Out,2024-10-04T15:00:00,3.0,34.0,Assembler
55,7,Clock In,2024-10-04T08:22:00,,,Assembler
56,7,Clock Out,2024-10-04T15:22:00,1.0,42.0,Assembler
57,8,Clock In,2024-10-04T08:03:00,,,Assembler
58,8,Clock Out,2024-10-04T15:03:00,2.0,36.0,Assembler
59,10,Clock In,2024-10-04T08:11:00,,,Steel Fixer
60,10,Clock Out,2024-10-04T18:11:00,1.0,32.0,Steel Fixer
61,11,Clock In,2024-10-04T08:16:00,,,Site Manager
62,11,Clock Out,2024-10-04T16:16:00,2.0,20.0,Site Manager
63,1,Clock In,2024-10-05T08:17:00,,,Shuttering Carpenter
64,1,Clock Out,2024-10-05T16:17:00,7.0,27.0,Shuttering Carpenter
65,2,Clock In,2024-10-05T08:13:00,,,Slinger
66,2,Clock Out,2024-10-05T16:13:00,5.0,29.0,Slinger
67,3,Clock In,2024-10-05T08:17:00,,,Assembler
68,3,Clock Out,2024-10-05T15:17:00,1.0,36.0,Assembler
69,4,Clock In,2024-10-05T08:04:00,,,Assembler
